neighbourhood_cleansed,temp
Midtown,129
Clinton Hill,40
Murray Hill,139
Hell's Kitchen,97
Upper West Side,204
Chinatown,34
West Village,211
South Slope,184
East Harlem,61
Fort Greene,80
Crown Heights,51
Park Slope,153
Bedford-Stuyvesant,12
Inwood,105
East Village,64
Harlem,96
Bushwick,27
Flatbush,74
Lower East Side,121
Prospect-Lefferts Gardens,161
Long Island City,119
Williamsburg,216
Greenpoint,93
Kips Bay,114
Nolita,147
Chelsea,33
Upper East Side,203
Red Hook,164
Prospect Heights,160
Washington Heights,208
Woodside,222
Brooklyn Heights,24
Carroll Gardens,30
Gowanus,87
Flatlands,76
Cobble Hill,42
Flushing,77
Boerum Hill,18
Sunnyside,191
St. George,188
Tribeca,199
Highbridge,98
Ridgewood,168
Morningside Heights,132
Jamaica,107
Middle Village,127
Ditmars Steinway,54
Flatiron District,75
Windsor Terrace,218
Roosevelt Island,171
Greenwich Village,94
Little Italy,117
Tompkinsville,196
Gramercy,88
Astoria,4
Kensington,110
Clason Point,38
Eastchester,65
Kingsbridge,113
Two Bridges,200
Rockaway Beach,170
NoHo,146
Forest Hills,79
East Flatbush,60
Woodlawn,220
SoHo,180
University Heights,202
Gravesend,91
Allerton,0
East New York,63
Theater District,193
Sheepshead Bay,177
Emerson Hill,70
Fort Hamilton,81
Bensonhurst,16
Shore Acres,178
Bayswater,11
Sunset Park,192
Richmond Hill,166
DUMBO,53
Elmhurst,68
Brighton Beach,22
Cypress Hills,52
St. Albans,187
Arrochar,2
Financial District,73
Rego Park,165
Wakefield,207
Civic Center,36
Clifton,39
Bay Ridge,7
Maspeth,125
Graniteville,89
Spuyten Duyvil,186
Stapleton,189
Briarwood,21
Columbia St,44
Morris Heights,133
Mott Haven,136
Jackson Heights,106
Longwood,120
Battery Park City,6
Bayside,10
East Elmhurst,59
Concourse,46
Arverne,3
Tottenville,197
Mariners Harbor,124
Concord,45
Borough Park,19
Downtown Brooklyn,57
Kew Gardens,111
College Point,43
Mount Eden,137
Vinegar Hill,206
City Island,35
Glendale,86
Canarsie,29
Port Morris,157
Queens Village,162
Williamsbridge,215
Soundview,181
Woodhaven,219
Woodrow,221
Co-op City,41
Stuyvesant Town,190
Parkchester,154
North Riverdale,148
Dyker Heights,58
Bronxdale,23
Sea Gate,176
Riverdale,169
Ozone Park,152
Bay Terrace,8
Norwood,149
Whitestone,214
Fordham,78
Concourse Village,47
Fieldston,72
Eltingville,69
Fresh Meadows,83
Brownsville,25
Midwood,130
Navy Yard,140
Mount Hope,138
Lighthouse Hill,116
Howard Beach,101
Kew Gardens Hills,112
Jamaica Estates,108
Morris Park,134
West Brighton,209
Far Rockaway,71
South Ozone Park,183
Tremont,198
Corona,49
Springfield Gardens,185
Manhattan Beach,122
Marble Hill,123
Dongan Hills,55
Castleton Corners,32
Hunts Point,104
Neponsit,141
Pelham Bay,155
Randall Manor,163
Throgs Neck,194
Todt Hill,195
West Farms,210
Great Kills,92
Silver Lake,179
Bellerose,14
Morrisania,135
Laurelton,115
Grymes Hill,95
Holliswood,100
Pelham Gardens,156
Belmont,15
Rosedale,173
Edgemere,67
New Brighton,142
Midland Beach,128
Baychester,9
Belle Harbor,13
Bergen Beach,17
Cambria Heights,28
Richmondtown,167
South Beach,182
Claremont Village,37
Howland Hook,102
Melrose,126
Coney Island,48
New Dorp Beach,144
Van Nest,205
Prince's Bay,159
Bath Beach,5
Jamaica Hills,109
Oakwood,150
Hollis,99
Schuylerville,175
Huguenot,103
Olinville,151
Edenwald,66
Port Richmond,158
Westerleigh,213
East Morrisania,62
Douglaston,56
Unionport,201
Fort Wadsworth,82
Westchester Square,212
Rosebank,172
New Springville,145
Mill Basin,131
Arden Heights,1
Bull's Head,26
Grant City,90
New Dorp,143
Breezy Point,20
Castle Hill,31
Willowbrook,217
Gerritsen Beach,84
Little Neck,118
Glen Oaks,85
Country Club,50
Rossville,174
